,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
18,201145,00,0,900,544,26575.0,4234,9599,0.441087,919,2750,0.334181,2270,2821,0.804679,832,3156,3988,1403,650,481,1350,1974,11657
19,201933,00,0,622,622,21672.0,5049,10134,0.498223,407,1223,0.332788,2974,4283,0.694373,1345,4156,5501,2749,553,321,1617,1777,13479
20,1629741,00,0,42,0,476.0,61,154,0.396103,25,81,0.308641,23,25,0.92,14,57,71,45,12,8,36,34,170
21,1629657,00,0,2,0,4.0,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
22,1629060,00,0,41,41,1217.0,218,456,0.47807,20,73,0.273972,92,111,0.828828,63,185,248,70,34,7,41,89,548
23,1628985,00,0,5,0,20.0,1,5,0.2,0,2,0.0,3,4,0.75,0,1,1,3,0,0,1,1,5
24,203501,00,0,466,229,12331.0,2198,5222,0.420911,925,2614,0.353863,944,1160,0.813793,161,1070,1231,864,295,66,516,783,6265
25,201935,00,0,826,613,28346.0,6102,13797,0.44227,2296,6320,0.363291,6223,7255,0.857753,646,3742,4388,5193,1295,436,3043,2183,20723
26,203090,00,0,537,325,12383.0,1534,3208,0.478179,324,997,0.324974,456,745,0.61208,633,1364,1997,505,524,355,468,1102,3848
27,1629607,00,0,3,0,8.0,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
28,1626149,00,0,318,25,6643.0,1648,2683,0.614237,5,50,0.1,736,1154,0.637781,556,1014,1570,424,177,287,369,718,4037
29,203914,00,0,368,306,10664.0,1673,3683,0.454249,541,1501,0.360426,572,712,0.80337,227,734,961,779,460,81,459,654,4459
30,203925,00,0,325,165,7861.0,1214,2560,0.474218,602,1422,0.423347,302,384,0.786458,186,828,1014,521,148,63,388,657,3332
31,202699,00,0,611,491,18836.0,3681,7819,0.470776,804,2210,0.3638,1528,1863,0.820182,604,3086,3690,1234,451,297,847,1224,9694
32,1627885,00,0,139,23,2299.0,320,715,0.447552,46,157,0.292993,149,211,0.706161,64,305,369,243,149,56,101,221,835
33,1628404,00,0,187,59,4739.0,565,1320,0.42803,281,796,0.353015,189,265,0.713207,131,750,881,267,170,77,170,398,1600
34,1628392,00,0,51,2,487.0,64,108,0.592592,2,11,0.181818,30,42,0.714285,50,87,137,33,16,24,29,97,160
35,2617,00,0,857,499,21540.0,2640,5395,0.489341,4,57,0.070175,1232,1631,0.755364,1606,4140,5746,729,422,249,803,2040,6516
36,1629637,00,0,56,12,951.0,155,235,0.659574,1,4,0.25,109,173,0.630057,82,141,223,51,23,53,41,142,420
37,202330,00,0,634,472,19532.0,3323,7373,0.450698,840,2294,0.366172,2196,2670,0.822471,473,2293,2766,2191,624,258,1243,1109,9682
38,203089,00,0,445,160,8752.0,1438,2661,0.540398,20,80,0.25,487,857,0.568261,802,1566,2368,496,211,642,496,998,3383
39,1629608,00,0,4,0,11.0,1,5,0.2,0,1,0.0,2,2,1.0,2,5,7,0,1,0,1,6,4
40,1627823,00,0,205,51,3311.0,368,860,0.427906,170,473,0.359408,177,245,0.722448,168,535,703,136,82,48,109,245,1083
41,1626195,00,0,209,26,3006.0,564,1063,0.530573,29,88,0.329545,287,418,0.686602,391,739,1130,218,85,79,223,344,1444
42,1629639,00,0,47,6,1280.0,220,532,0.413533,99,253,0.391304,66,79,0.835443,14,173,187,91,30,7,72,59,605
43,1628987,00,0,7,0,20.0,1,11,0.090909,0,8,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2
44,1626209,00,0,324,69,6003.0,843,2018,0.41774,263,819,0.321123,304,374,0.812834,143,861,1004,407,235,80,366,534,2253
45,1627741,00,0,308,194,8572.0,1822,4122,0.442018,846,2056,0.411478,418,481,0.869022,253,1041,1294,678,241,81,521,615,4908
46,201588,00,0,778,447,21575.0,3070,6715,0.457185,952,2475,0.384646,1570,1956,0.802658,459,1948,2407,2475,710,215,977,1594,8662
47,203524,00,0,359,172,7905.0,723,1827,0.39573,288,853,0.337631,360,450,0.8,239,912,1151,569,246,86,330,626,2094
