,id,full_name,first_name,last_name,is_active
1403,201821,Trey Gilder,Trey,Gilder,False
1404,1628385,Harry Giles III,Harry,Giles III,True
1405,1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,True
1406,2109,Eddie Gill,Eddie,Gill,False
1407,383,Kendall Gill,Kendall,Gill,False
1408,76812,Ben Gillery,Ben,Gillery,False
1409,76813,Gene Gillette,Gene,Gillette,False
1410,288,Armen Gilliam,Armen,Gilliam,False
1411,76815,Herm Gilliam,Herm,Gilliam,False
1412,600014,Artis Gilmore,Artis,Gilmore,False
1413,76817,Walt Gilmore,Walt,Gilmore,False
1414,76818,Chuck Gilmur,Chuck,Gilmur,False
1415,1938,Manu Ginobili,Manu,Ginobili,False
1416,1921,Gordan Giricek,Gordan,Giricek,False
1417,76819,Jack Givens,Jack,Givens,False
1418,202148,Mickell Gladness,Mickell,Gladness,False
1419,76820,George Glamack,George,Glamack,False
1420,76821,Gerald Glass,Gerald,Glass,False
1421,76822,Mike Glenn,Mike,Glenn,False
1422,76823,Norman Glick,Norman,Glick,False
1423,76824,Georgi Glouchkov,Georgi,Glouchkov,False
1424,76825,Clarence Glover,Clarence,Glover,False
1425,1901,Dion Glover,Dion,Glover,False
1426,2601,Andreas Glyniadakis,Andreas,Glyniadakis,False
1427,76826,Mike Gminski,Mike,Gminski,False
1428,203497,Rudy Gobert,Rudy,Gobert,True
1429,76827,Dan Godfread,Dan,Godfread,False
1430,76828,Tom Gola,Tom,Gola,False
1431,76829,Ben Goldfaden,Ben,Goldfaden,False
1432,924,Anthony Goldwire,Anthony,Goldwire,False
1433,101155,Ryan Gomes,Ryan,Gomes,False
1434,76830,Glen Gondrezick,Glen,Gondrezick,False
1435,76831,Grant Gondrezick,Grant,Gondrezick,False
1436,2400,Drew Gooden,Drew,Gooden,False
1437,76832,Gail Goodrich,Gail,Goodrich,False
1438,1864,Steve Goodrich,Steve,Goodrich,False
1439,203462,Archie Goodwin,Archie,Goodwin,False
1440,1629164,Brandon Goodwin,Brandon,Goodwin,True
